City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
274,Plettenberg Bay,ZA,-34.0527,23.3716,59.38,92,1,2.44,clear sky
275,Lazaro Cardenas,MX,17.9583,-102.2,83.91,67,5,3.42,clear sky
276,Acarau,BR,-2.8856,-40.12,85.84,60,69,14.65,broken clouds
277,Diapaga,BF,12.0708,1.7889,89.4,15,73,7.94,broken clouds
278,Saldanha,ZA,-33.0117,17.9442,62.11,85,61,16.58,broken clouds
279,Katsuura,JP,35.1333,140.3,64.04,61,48,2.01,scattered clouds
280,Sampit,ID,-2.5333,112.95,73.81,93,100,1.74,overcast clouds
281,Merauke,ID,-8.4667,140.3333,79.88,81,43,7.38,scattered clouds
282,Montepuez,MZ,-13.1256,38.9997,81.81,46,64,9.15,broken clouds
283,Cervo,ES,43.6702,-7.4101,63.19,75,81,7.0,broken clouds
284,Hami,CN,42.8,93.45,51.85,39,99,3.76,overcast clouds
285,Shirgaon,IN,19.7,72.7,77.31,51,48,8.5,scattered clouds
286,Surt,LY,31.2089,16.5887,72.95,65,24,12.3,few clouds
287,Cidreira,BR,-30.1811,-50.2056,70.68,79,81,22.91,broken clouds
288,Saint-Augustin,CA,51.226,-58.6502,52.84,34,10,7.31,clear sky
289,Kununurra,AU,-15.7667,128.7333,83.61,63,85,3.4,overcast clouds
290,Moerai,PF,-22.4333,-151.3333,72.25,60,16,16.67,few clouds
291,Isangel,VU,-19.55,169.2667,74.17,83,7,4.9,clear sky
292,Sinnamary,GF,5.3833,-52.95,84.07,68,66,6.96,broken clouds
293,Conceicao Do Mato Dentro,BR,-19.0372,-43.425,81.43,52,94,7.05,overcast clouds
294,Itarema,BR,-2.9248,-39.9167,86.27,59,67,14.07,broken clouds
295,Dzhebariki-Khaya,RU,62.2167,135.8,-2.45,100,100,1.12,overcast clouds
296,Labuhan,ID,-6.8844,112.2051,81.07,79,99,1.92,overcast clouds
297,Kaitangata,NZ,-46.2817,169.8464,47.41,85,70,2.93,broken clouds
298,Ballina,AU,-28.8667,153.5667,65.79,99,94,9.22,overcast clouds
299,Karlskoga,SE,59.3267,14.5239,49.32,96,100,4.25,overcast clouds
300,Tocopilla,CL,-22.092,-70.1979,70.74,59,14,7.27,few clouds
301,Santa Cruz,BO,-17.8,-63.1667,92.66,62,75,6.91,broken clouds
302,Broome,US,42.2506,-75.833,57.02,79,100,3.0,overcast clouds
303,Deep River,CA,46.1001,-77.4995,46.15,84,100,6.4,overcast clouds
304,Hokitika,NZ,-42.7167,170.9667,52.72,78,27,14.52,scattered clouds
305,Pauri,IN,30.15,78.7833,51.04,73,0,4.36,clear sky
306,Shenkursk,RU,62.1091,42.896,45.39,89,100,7.83,overcast clouds
307,Laguna,US,38.421,-121.4238,71.44,79,1,5.01,clear sky
308,Nakamura,JP,32.9833,132.9333,59.04,98,100,3.18,light rain
309,Kyra,RU,49.5776,111.9753,25.59,62,0,1.86,clear sky
310,Westlock,CA,54.1502,-113.8688,38.21,36,2,11.83,clear sky
311,Acatlan,MX,20.15,-98.45,67.95,31,47,5.06,scattered clouds
312,Maceio,BR,-9.6658,-35.7353,81.03,63,10,8.43,clear sky
